fecha_extraccion,operacion,categoria,titulo,raw_location,provincia,canton,zona,zona_normalizada_completa,precio_raw,currency_raw,total_price_estimated_usd,m2,price_per_m2,price_flag,url_anuncio,motivo_outlier,outlier_method
2026-05-18,venta,casas,Venta Casa Granadilla de Curridabat. Condominio Monterán,"Granadilla | Curridabat | San José, Curridabat, Granadilla",San Jose,Curridabat,Granadilla,San Jose | Curridabat | Granadilla,1790000,USD,1790000,630,2841.27,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-casa-granadilla-de-curridabat-condominio-monteran/32048601,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Venta. Ciudad Colón. Lujo, paz, hermosos jardines en una planta.",Río Oro | Santa Ana | Ciudad Colón,San Jose,Santa Ana,Río Oro,San Jose | Santa Ana | Río Oro,2300000,USD,2300000,700,3285.71,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-ciudad-colon-lujo-paz-hermosos-jardines-en-una-planta/29068715,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta Propiedad Comercial e Institucional en La Sabana.,"Mata Redonda | San José Capital | San Jose, Sabana, ROHRMOSER",San Jose,San Jose,Mata Redonda,San Jose | San Jose | Mata Redonda,1424380,USD,1424380,698,2040.66,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-propiedad-comercial-e-institucional-en-la-sabana/31713528,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,VENTA CASA DE LUJO EN LINDORA | 1 PLANTA | PISCINA PRIVADA,Lindora | Santa Ana | Santa Ana Lindora,San Jose,Santa Ana,Lindora,San Jose | Santa Ana | Lindora,1400000,USD,1400000,515,2718.45,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-casa-de-lujo-en-lindora-1-planta-piscina-privada/32212257,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,MODALIDAD CEDO DEUDA,Desamparados | San José provincia | SAN MIGUEL DESAMPARADOS,San Jose,Sin canton,Desamparados,San Jose | Sin canton | Desamparados,13500000,CRC,29630.61,171,173.28,outlier_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/modalidad-cedo-deuda/32212458,outlier_check_manually,
2026-05-18,venta,casas,"Gran oportunidad! Espectacular casa en Cerro Alto, Escazú",San Rafael | Escazú,San Jose,Escazu,San Rafael,San Jose | Escazu | San Rafael,1350000,USD,1350000,562,2402.14,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/gran-oportunidad-espectacular-casa-en-cerro-alto-escazu/31429700,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Quepos- Casa Moderna con 2.6 Hectáreas - Puro Lujo- Espacio y Amenidades,Naranjito | Aguirre | Finca Tranquila,Sin provincia,Sin canton,Naranjito,Sin provincia | Sin canton | Naranjito,1595000,USD,1595000,838,1903.34,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/quepos-casa-moderna-con-2-6-hectareas-puro-lujo-espacio-y-amenidades/32028107,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Venta de Hermosa Villa en San Isidro de Heredia,San Isidro | Heredia provincia | Montañas de San Isidro,Heredia,Sin canton,San Isidro,Heredia | Sin canton | San Isidro,1395000,USD,1395000,436,3199.54,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-hermosa-villa-en-san-isidro-de-heredia/32135909,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,"VENTA DE CASA / LOTE CON USO MIXTO y ZONA VERDE 2,000m²","Santa Ana Centro | Santa Ana | San José, Santa Ana, Costa Rica",San Jose,Santa Ana,Santa Ana Centro,San Jose | Santa Ana | Santa Ana Centro,1200000,USD,1200000,2510,478.09,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-lote-con-uso-mixto-y-zona-verde-2-000m/31317004,IQR_zona,IQR_zona
2026-05-18,venta,casas,Se Vende Residencia de Lujo en Santa Ana,Pozos | Santa Ana | Parque Residencial Valle del Sol,San Jose,Santa Ana,Pozos,San Jose | Santa Ana | Pozos,1300000,USD,1300000,712,1825.84,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-residencia-de-lujo-en-santa-ana/28144038,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"CASA VENTA ESCAZU, SAN MIGUEL MP 26-175",Escazú,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,2400000,USD,2400000,1000,2400,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-venta-escazu-san-miguel-mp-26-175/31627249,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta de casa en San Francisco de Heredia ideal para comercio,San Francisco | Heredia,Heredia,Heredia,San Francisco,Heredia | Heredia | San Francisco,1500000,USD,1500000,2000,750,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-en-san-francisco-de-heredia-ideal-para-comercio/30829766,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Residencia de lujo en Escazu con vistas panorámicas,Escazú,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,2500000,USD,2500000,2000,1250,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/residencia-de-lujo-en-escazu-con-vistas-panoramicas/32367296,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Venta amplia y hermosa casa, 2 niveles, San Sebastián",San Sebastián | San José Capital | De Iglesia Comunidad Pas. 200 m este,San Jose,San Jose,San Sebastián,San Jose | San Jose | San Sebastián,297000,USD,297000,250,1188,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-amplia-y-hermosa-casa-2-niveles-san-sebastian/28836628,IQR_zona,IQR_zona
2026-05-18,venta,casas,Se vende. Escazú: residencia exclusiva con amplios espacios y ubicación inmejorable,Escazú | San José provincia | Escazu,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,1250000,USD,1250000,600,2083.33,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-escazu-residencia-exclusiva-con-amplios-espacios-y-ubicacion-inmejorable/31088834,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Se vende lujosa y amplia Casa de una planta en Monterán (MA).,Sanchez | Curridabat,San Jose,Curridabat,Sanchez,San Jose | Curridabat | Sanchez,1355000,USD,1355000,720,1881.94,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-lujosa-y-amplia-casa-de-una-planta-en-monteran-ma/30395199,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Exclusiva! Venta Casa de Lujo en el TIROL HEREDIA.,"San Rafael | Heredia provincia | El Tirol, San Rafael de Heredia",Alajuela,Alajuela,San Rafael,Alajuela | Alajuela | San Rafael,1300000,USD,1300000,600,2166.67,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/exclusiva-venta-casa-de-lujo-en-el-tirol-heredia/31641167,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,VENTA finca increible cerca de San Jose,Tres Ríos | La Unión | 83017979,Cartago,La Union,Tres Ríos,Cartago | La Union | Tres Ríos,2300000,USD,2300000,600,3833.33,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-finca-increible-cerca-de-san-jose/31404842,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Preciosa casa en residencia cerrada !,Alajuelita | San José provincia | LIMITE DE LA AJUELITA Y ESCAZU BELLE HORIZONTE,San Jose,Alajuelita,Alajuelita,San Jose | Alajuelita | Alajuelita,350000,USD,350000,264,1325.76,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/preciosa-casa-en-residencia-cerrada/32019120,IQR_zona,IQR_zona
