seccion,operacion,categoria,provincia,zona_normalizada_completa,indicador,valor,cantidad_anuncios,precio_promedio_usd,precio_mediano_usd,precio_promedio_usd_sin_outliers,precio_mediano_usd_sin_outliers,m2_promedio,precio_promedio_m2,cantidad_outliers,porcentaje_outliers,limite_inferior_iqr,limite_superior_iqr,observacion
resumen_general_combinado_control_tecnico,,,,,,,27663,171310724.37,200000,228815.07,176746,1941.62,68707.51,2417,8.76,-632630.82,1064374.7,mezcla venta y alquiler; para lectura comercial usar anuncios_por_operacion y categorias
anuncios_por_operacion,alquiler,,,,total anuncios,,8619,194671.61,1725,1955.25,1525.43,484.39,795.47,969,11.26,-1791,6185,
anuncios_por_operacion,venta,,,,total anuncios,,19044,248946460.78,310000,355952.41,280000,2561.45,97605.22,2014,10.61,-417750,1202650,
anuncios_por_categoria,alquiler,alquiler_vacacional,,,total anuncios,,11,314.69,142.67,206.16,142.67,174,1.6,1,9.09,-225.59,639.35,
campos_faltantes_por_categoria,alquiler,alquiler_vacacional,,,,,11,,,,,,,,,,,m2: 6/11 (55%); dormitorios: 1/11 (9%); parking: 1/11 (9%)
anuncios_por_categoria,alquiler,apartamentos,,,total anuncios,,2849,4619.69,1300,1367.67,1262.04,128.98,65.31,234,8.22,-79.65,2927.79,
campos_faltantes_por_categoria,alquiler,apartamentos,,,,,2849,,,,,,,,,,,total_price_estimated_usd: 1/2849 (0%); m2: 921/2849 (32%); dormitorios: 26/2849 (1%); baños: 4/2849 (0%); parking: 2/2849 (0%)
anuncios_por_categoria,alquiler,apartamentos_amueblados,,,total anuncios,,1172,12085.03,1400,1506.41,1350,131.76,32.75,87,7.43,-125,3275,
campos_faltantes_por_categoria,alquiler,apartamentos_amueblados,,,,,1172,,,,,,,,,,,total_price_estimated_usd: 1/1172 (0%); m2: 461/1172 (39%); dormitorios: 7/1172 (1%); baños: 1/1172 (0%); parking: 6/1172 (1%)
anuncios_por_categoria,alquiler,casas,,,total anuncios,,1889,9362.85,2400,2605.69,2300,767.05,51,78,4.13,-1416.14,6626.9,
campos_faltantes_por_categoria,alquiler,casas,,,,,1889,,,,,,,,,,,total_price_estimated_usd: 2/1889 (0%); m2: 616/1889 (33%); dormitorios: 2/1889 (0%); baños: 3/1889 (0%); parking: 18/1889 (1%)
anuncios_por_categoria,alquiler,casas_de_playa,,,total anuncios,,17,1431.11,1400,1339.31,1375,163.33,11.06,1,5.88,100,2500,
campos_faltantes_por_categoria,alquiler,casas_de_playa,,,,,17,,,,,,,,,,,m2: 11/17 (65%)
anuncios_por_categoria,alquiler,casas_en_el_interior,,,total anuncios,,4,1327.69,1588.33,1327.69,1588.33,320,5.47,0,0,,,muestra insuficiente para IQR
campos_faltantes_por_categoria,alquiler,casas_en_el_interior,,,,,4,,,,,,,,,,,m2: 2/4 (50%); parking: 1/4 (25%)
anuncios_por_categoria,alquiler,cuartos,,,total anuncios,,25,374.71,351.18,374.71,351.18,23.75,19.11,0,0,-16.55,729.93,
campos_faltantes_por_categoria,alquiler,cuartos,,,,,25,,,,,,,,,,,m2: 21/25 (84%)
anuncios_por_categoria,alquiler,estacionamientos_sepultura_otros,,,total anuncios,,5,7877.03,4828.69,7877.03,4828.69,,,0,0,,,muestra insuficiente para IQR
campos_faltantes_por_categoria,alquiler,estacionamientos_sepultura_otros,,,,,5,,,,,,,,,,,m2: 5/5 (100%); dormitorios: 4/5 (80%); baños: 4/5 (80%); parking: 5/5 (100%)
anuncios_por_categoria,alquiler,locales_comerciales_y_bodegas,,,total anuncios,,1500,473985.96,3000,3498.76,2462,795,469.74,202,13.48,-7300,15900,
campos_faltantes_por_categoria,alquiler,locales_comerciales_y_bodegas,,,,,1500,,,,,,,,,,,total_price_estimated_usd: 2/1500 (0%); m2: 1/1500 (0%); dormitorios: 962/1500 (64%); baños: 90/1500 (6%); parking: 88/1500 (6%)
anuncios_por_categoria,alquiler,negocios,,,total anuncios,,22,50861.55,1316.92,2153.45,700,843.32,82.28,5,23.81,-7750,14250,
campos_faltantes_por_categoria,alquiler,negocios,,,,,22,,,,,,,,,,,total_price_estimated_usd: 1/22 (5%); dormitorios: 17/22 (77%); baños: 1/22 (5%); parking: 2/22 (9%)
anuncios_por_categoria,alquiler,oficinas,,,total anuncios,,1125,819760.1,3198,4188.77,2529,580.89,3843.05,165,14.71,-11072,21920,
campos_faltantes_por_categoria,alquiler,oficinas,,,,,1125,,,,,,,,,,,total_price_estimated_usd: 3/1125 (0%); m2: 3/1125 (0%); dormitorios: 770/1125 (68%); baños: 64/1125 (6%); parking: 40/1125 (4%)
anuncios_por_categoria,venta,apartamentos,,,total anuncios,,3272,487841.45,215000,239926.98,205000,307.16,5809.19,257,7.86,-83463.82,578078.29,
campos_faltantes_por_categoria,venta,apartamentos,,,,,3272,,,,,,,,,,,total_price_estimated_usd: 3/3272 (0%); m2: 24/3272 (1%); dormitorios: 27/3272 (1%); baños: 6/3272 (0%); parking: 13/3272 (0%)
anuncios_por_categoria,venta,casas,,,total anuncios,,8479,2879054.8,350000,387103.24,325000,472.68,5636.65,621,7.33,-282500,1097500,
campos_faltantes_por_categoria,venta,casas,,,,,8479,,,,,,,,,,,total_price_estimated_usd: 10/8479 (0%); m2: 45/8479 (1%); dormitorios: 43/8479 (1%); baños: 22/8479 (0%); parking: 312/8479 (4%)
anuncios_por_categoria,venta,edificios,,,total anuncios,,319,2131231.56,950000,968274.18,850000,1846.94,8868.85,40,12.54,-862500,2917500,
campos_faltantes_por_categoria,venta,edificios,,,,,319,,,,,,,,,,,dormitorios: 87/319 (27%); baños: 26/319 (8%); parking: 93/319 (29%)
anuncios_por_categoria,venta,estacionamientos_sepultura_otros,,,total anuncios,,6,216543.94,7407.65,216543.94,7407.65,327.89,1941.21,0,0,,,muestra insuficiente para IQR
campos_faltantes_por_categoria,venta,estacionamientos_sepultura_otros,,,,,6,,,,,,,,,,,m2: 4/6 (67%); dormitorios: 6/6 (100%); baños: 5/6 (83%); parking: 6/6 (100%)
anuncios_por_categoria,venta,fincas,,,total anuncios,,703,265466010.04,600000,816317.44,526766.31,17670.51,165663.25,79,11.27,-1670209.17,3562125.5,
campos_faltantes_por_categoria,venta,fincas,,,,,703,,,,,,,,,,,total_price_estimated_usd: 2/703 (0%); m2: 520/703 (74%); dormitorios: 475/703 (68%); baños: 449/703 (64%); parking: 616/703 (88%)
anuncios_por_categoria,venta,locales_comerciales_y_bodegas,,,total anuncios,,616,5081790.96,607976.12,760798.19,550000,2066.84,12381.32,64,10.41,-1313750,3028250,
campos_faltantes_por_categoria,venta,locales_comerciales_y_bodegas,,,,,616,,,,,,,,,,,total_price_estimated_usd: 1/616 (0%); m2: 1/616 (0%); dormitorios: 389/616 (63%); baños: 27/616 (4%); parking: 26/616 (4%)
anuncios_por_categoria,venta,lotes_y_terrenos,,,total anuncios,,4857,937098148.44,241434.56,314374.58,197537.37,9039.18,628788.02,686,14.28,-661206.8,1423924.08,
campos_faltantes_por_categoria,venta,lotes_y_terrenos,,,,,4857,,,,,,,,,,,total_price_estimated_usd: 52/4857 (1%); m2: 2639/4857 (54%); dormitorios: 4435/4857 (91%); baños: 4374/4857 (90%); parking: 4303/4857 (89%)
anuncios_por_categoria,venta,negocios,,,total anuncios,,178,1288041.72,862877.5,969220.77,801123.77,47642.77,11463.59,13,7.3,-1427812.5,3416687.5,
campos_faltantes_por_categoria,venta,negocios,,,,,178,,,,,,,,,,,m2: 5/178 (3%); dormitorios: 121/178 (68%); baños: 30/178 (17%); parking: 13/178 (7%)
anuncios_por_categoria,venta,oficinas,,,total anuncios,,142,31347548.93,450000,490501.79,395000,601.7,31533.85,14,9.86,-677001,1701835,
campos_faltantes_por_categoria,venta,oficinas,,,,,142,,,,,,,,,,,dormitorios: 95/142 (67%); baños: 14/142 (10%); parking: 4/142 (3%)
anuncios_por_categoria,venta,propiedades_de_playa,,,total anuncios,,472,947476.07,360000,394134.23,322500,9585.26,24337.42,68,14.44,-632828.29,1578096.97,
campos_faltantes_por_categoria,venta,propiedades_de_playa,,,,,472,,,,,,,,,,,total_price_estimated_usd: 1/472 (0%); m2: 355/472 (75%); dormitorios: 245/472 (52%); baños: 215/472 (46%); parking: 330/472 (70%)
resumen_por_provincia,,,San Jose,,,,16212,44765828.4,186563.07,206728.57,163468.5,764.6,99204.66,1268,7.84,-586750,984050,
resumen_por_provincia,,,Alajuela,,,,3975,484524929.08,197537.37,248163.89,173393.91,5603.83,18701.09,404,10.19,-511926.49,1069823.89,
resumen_por_provincia,,,Heredia,,,,3134,635773305.74,215096.24,260696.29,190000,2061.7,19005.33,282,9.02,-730500,1236700,
resumen_por_provincia,,,Cartago,,,,1511,3848497.43,252408.86,245526.98,219485.96,2598.44,12743.14,178,11.8,-228492.43,775895.46,
